Column1
"国名,人口,画像URL,首都,通貨"
"インド,1450935700,images/インド.jpg,ニューデリー,インドルピー"
"中華人民共和国,1408280000,images/中華人民共和国.jpg,北京,人民元"
"アメリカ合衆国,329064900,images/アメリカ合衆国.jpg,ワシントンD.C.,米ドル"
"インドネシア,270625600,images/インドネシア.jpg,ジャカルタ,ルピア"
"パキスタン,216565300,images/パキスタン.jpg,イスラマバード,パキスタン・ルピー"
"ブラジル,211049500,images/ブラジル.jpg,ブラジリア,レアル"
"ナイジェリア,200963600,images/ナイジェリア.jpg,アブジャ,ナイラ"
"バングラデシュ,163046200,images/バングラデシュ.jpg,ダッカ,タカ"
"ロシア,145872300,images/ロシア.png,モスクワ,ロシアルーブル"
"メキシコ,127575500,images/メキシコ.jpg,メキシコシティ,メキシコペソ"
"日本,126860300,images/日本.jpg,東京,日本円"
"エチオピア,112078700,images/エチオピア.JPG,アディスアベバ,ブル"
"フィリピン,108116600,images/フィリピン.png,マニラ,フィリピン・ペソ"
"エジプト,100388100,images/エジプト.jpg,カイロ,エジプト・ポンド"
"ベトナム,96462100,images/ベトナム.jpg,ハノイ,ドン"
"コンゴ民主共和国,86790600,images/コンゴ民主共和国.jpg,キンシャサ,コンゴ・フラン"
"ドイツ,83517000,images/ドイツ.jpg,ベルリン,ユーロ"
"トルコ,83429600,images/トルコ.png,アンカラ,トルコリラ"
"イラン,82913900,images/イラン.jpg,テヘラン,イラン・リアル"
"タイ王国,69625600,images/タイ王国.jpg,バンコク,バーツ"
"イギリス,67530200,images/イギリス.jpg,ロンドン,英ポンド"
"フランス,65129700,images/フランス.png,パリ,ユーロ"
"イタリア,60550100,images/イタリア.png,ローマ,ユーロ"
"南アフリカ共和国,58558300,images/南アフリカ共和国.jpg,プレトリア,ランド"
"タンザニア,58005500,images/タンザニア.jpg,ドドマ,タンザニア・シリング"
"ミャンマー,54045400,images/ミャンマー.jpg,ネピドー,チャット"
"ケニア,52574000,images/ケニア.jpg,ナイロビ,ケニア・シリング"
"韓国,51225300,images/韓国.jpeg,ソウル,韓国ウォン"
"コロンビア,50339400,images/コロンビア.jpg,ボゴタ,コロンビア・ペソ"
"スペイン,46736800,images/スペイン.png,マドリード,ユーロ"
"アルゼンチン,44780700,images/アルゼンチン.JPG,ブエノスアイレス,アルゼンチン・ペソ"
"ウガンダ,44269600,images/ウガンダ.jpg,カンパラ,ウガンダ・シリング"
"ウクライナ,43993600,images/ウクライナ.jpg,キーウ,ウクライナ・フリヴニャ"
"アルジェリア,43053100,images/アルジェリア.jpg,アルジェ,アルジェリア・ディナール"
"スーダン,42813200,images/スーダン.jpg,ハルツーム,スーダン・ポンド"
"イラク,39309800,images/イラク.png,バグダッド,イラク・ディナール"
"アフガニスタン,38041800,images/アフガニスタン.jpg,カブール,アフガニ・ルピー"
"ポーランド,37887800,images/ポーランド.png,ワルシャワ,ズウォティ"
"カナダ,37411000,images/カナダ.jpg,オタワ,カナダドル"
"モロッコ,36471800,images/モロッコ.jpg,ラバト,モロッコ・ディルハム"
"サウジアラビア,34268500,images/サウジアラビア.png,リヤド,サウジ・リヤル"
"ウズベキスタン,32981700,images/ウズベキスタン.jpg,タシュケント,スム"
"ペルー,32510500,images/ペルー.jpg,リマ,ソル"
"マレーシア,31949800,images/マレーシア.jpg,クアラルンプール,リンギット"
"アンゴラ,31825300,images/アンゴラ.jpg,ルアンダ,クワンザ"
"ガーナ,30417900,images/ガーナ.jpg,アクラ,セディ"
"モザンビーク,30366000,images/モザンビーク.jpg,マプト,メティカル"
"イエメン,29161900,images/イエメン.jpg,サナア,イエメン・リアル"
